openbareruimtenaam,huisnummer,huisletter,huisnummertoevoeging,postcode,woonplaatsnaam,gemeentenaam,provincienaam,typeadresseerbaarobject,longitude,latitude
Koningin Emmaplein,1,,,3016AA,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.475719,51.910353
Koningin Emmaplein,2,,,3016AA,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.475756,51.910295
Koningin Emmaplein,3,,,3016AA,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.475800,51.910186
Koningin Emmaplein,4,,,3016AA,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.475800,51.910186
Koningin Emmaplein,5,,,3016AA,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.475799,51.910091
Koningin Emmaplein,6,,,3016AA,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.475751,51.910030
Koningin Emmaplein,7,,,3016AA,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.475691,51.909978
Koningin Emmaplein,8,,,3016AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.475498,51.909910
Koningin Emmaplein,9,,,3016AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.475498,51.909910
Koningin Emmaplein,10,,,3016AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.475387,51.909896
Koningin Emmaplein,11,,,3016AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.475303,51.909906
Koningin Emmaplein,12,,,3016AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.475135,51.909961
Koningin Emmaplein,13,,,3016AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.475135,51.909961
Koningin Emmaplein,15,A,,3016AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.475022,51.910049
Koningin Emmaplein,15,B,,3016AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.475022,51.910049
Koningin Emmaplein,15,C,,3016AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.475022,51.910049
Koningin Emmaplein,15,D,,3016AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.475022,51.910049
Koningin Emmaplein,15,E,,3016AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.475022,51.910049
Scheepstimmermanslaan,1,A,,3016AC,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.477243,51.911158
Scheepstimmermanslaan,1,B,,3016AC,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.477297,51.911093
Scheepstimmermanslaan,1,C,,3016AC,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.477297,51.911093
Scheepstimmermanslaan,1,D,,3016AC,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.477297,51.911093
Scheepstimmermanslaan,1,,,3016AC,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.477297,51.911093
Scheepstimmermanslaan,3,A,,3016AC,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.477322,51.911056
Scheepstimmermanslaan,3,B,,3016AC,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.477322,51.911056
Scheepstimmermanslaan,5,A,01,3016AC,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.477351,51.911008
Scheepstimmermanslaan,5,A,02,3016AC,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.477351,51.911008
Scheepstimmermanslaan,5,B,,3016AC,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.477351,51.911008
Scheepstimmermanslaan,7,A,,3016AC,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.477388,51.910956
Scheepstimmermanslaan,7,J,,3016AC,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.477388,51.910956
